Model Name,Dataset,Method Name,Accuracy,GPU Memory,Latency,Precision,Recall,F1 Score,Throughput,Energy
DistilBERT,AG News,HAQ,93.7237,0.9257,2.4851,93.851,93.7237,93.7286,402.4023,3167.8434
DistilBERT,AG News,HAWQ,93.6316,0.9257,2.4903,93.792,93.6316,93.6386,401.5588,3176.0242
DistilBERT,AG News,Sensimix,89.8816,0.9257,2.4862,90.5071,89.8816,89.8406,402.226,3166.9522
DistilBERT,AG News,Zeroquant,93.8421,0.9178,2.4902,93.9822,93.8421,93.8491,401.5753,3177.7766
DistilBERT,AG News,Duquant,93.8026,0.9569,2.7863,93.9383,93.8026,93.8096,358.9035,3555.3421
GPT2,AG News,HAQ,93.5789,2.8135,5.9418,93.5774,93.5789,93.5673,168.2983,7602.5016
GPT2,AG News,HAWQ,93.6711,0.9784,5.8913,93.6576,93.6711,93.6563,169.7429,7560.0033
GPT2,AG News,Sensimix,92.25,0.9784,5.8932,92.256,92.25,92.2409,169.6867,7560.2683
GPT2,AG News,Duquant,93.6974,2.8037,6.3392,93.6846,93.6974,93.6896,157.7489,8134.811
GPT2,AG News,Zeroquant,93.7237,0.9686,5.8828,93.7095,93.7237,93.7152,169.9883,7548.1887
