Dataset,Model Name,Accuracy,GPU Memory,Latency,Precision,Recall,F1 Score,Throughput,Energy
SST2,DistilBERT,90.367,4.6152,6.5707,90.367,90.367,90.3665,152.1916,965.5835
SST2,MobileBERT,49.0826,4.4414,9.9179,24.091,49.0826,32.319,100.8275,1425.6055
SST2,ALBERT,91.7431,4.4883,13.9317,91.7433,91.7431,91.7427,71.7787,2052.2056
SST2,TinyBERT,89.7936,6.9034,3.7917,89.8008,89.7936,89.7914,263.7329,543.1611
QNLI,BERT-Base,91.2868,4.6504,12.1848,91.298,91.2868,91.287,82.0694,11262.7682
QNLI,DistilBERT,87.7174,6.1339,6.2838,87.7718,87.7174,87.7157,159.1391,5791.0486
QNLI,MobileBERT,49.46,5.97,9.8225,24.4629,49.46,32.7351,101.807,8801.4421
QNLI,ALBERT,89.9872,6.0168,13.6592,89.9887,89.9872,89.9866,73.2105,12653.792
QNLI,TinyBERT,84.7154,5.9934,2.0996,84.9487,84.7154,84.6978,476.2793,1940.9579
MRPC,BERT-Base,80.1471,6.1692,12.4346,79.6717,80.1471,79.1024,80.4207,856.0671
MRPC,DistilBERT,81.3725,6.1418,6.7716,81.7277,81.3725,81.5172,147.6756,461.3236
MRPC,MobileBERT,31.6176,5.97,8.8393,9.9968,31.6176,15.1906,113.1308,529.5231
MRPC,ALBERT,68.3824,6.0168,14.1929,46.7615,68.3824,55.542,70.458,938.0558
MRPC,TinyBERT,78.1863,5.9934,2.407,79.2585,78.1863,78.5499,415.4534,159.6897
RTE,BERT-Base,58.1227,6.1692,12.6226,65.4188,58.1227,50.195,79.223,585.2382
RTE,DistilBERT,52.3466,6.1418,6.9665,43.4645,52.3466,36.8482,143.5438,325.5708
RTE,MobileBERT,52.7076,5.97,8.4822,27.7809,52.7076,36.3844,117.8941,324.1957
RTE,ALBERT,58.8448,6.0168,14.3303,61.9026,58.8448,53.9822,69.782,665.2633
RTE,TinyBERT,62.4549,6.0012,2.5915,63.0611,62.4549,61.2316,385.8729,121.3314
WNLI,BERT-Base,42.2535,6.1692,14.9295,18.7123,42.2535,25.9378,66.9815,176.4996
WNLI,DistilBERT,45.0704,6.1418,8.4289,38.0193,45.0704,39.5083,118.6396,95.6492
WNLI,MobileBERT,56.338,5.97,11.9775,31.7397,56.338,40.604,83.4901,76.0709
WNLI,ALBERT,53.5211,6.0168,15.933,52.0395,53.5211,51.9249,62.7628,185.0674
WNLI,TinyBERT,40.8451,5.9915,4.1364,18.3507,40.8451,25.3239,241.7589,48.6325
COLA,BERT-Base,82.1668,6.1692,12.1947,82.044,82.1668,81.0494,82.0025,2155.4387
COLA,DistilBERT,77.5647,6.1418,6.5384,77.0513,77.5647,75.3972,152.9416,1155.549
COLA,MobileBERT,30.8725,5.9739,9.9981,9.5311,30.8725,14.5655,100.0188,1680.4101
COLA,ALBERT,69.1275,6.0168,14.5719,47.7861,69.1275,56.509,68.6254,2564.987
COLA,TinyBERT,69.1275,5.9973,1.1259,47.7861,69.1275,56.509,888.18,142.6748
STS-B,BERT-Base,84.8,6.1692,11.9593,85.0352,84.8,84.7813,83.6172,3042.1751
STS-B,DistilBERT,84.2,6.1418,6.4899,84.3819,84.2,84.1855,154.0854,1643.5662
STS-B,MobileBERT,49.5333,5.9758,9.8419,24.5355,49.5333,32.8161,101.6061,2376.608
STS-B,ALBERT,81.2,6.0168,13.8002,82.4954,81.2,81.033,72.4626,3508.8861
STS-B,TinyBERT,84.8667,5.9993,0.9707,85.252,84.8667,84.834,1030.1707,237.4377
